vignette_id,drug,baseline_hallucinated,aura_hallucinated
1,Zuranolone,True,False
2,Brexanolone,True,False
3,Zuranolone,False,False
4,Zuranolone,True,False
5,Sertraline,False,False
6,Venlafaxine,False,False
7,Sertraline,False,False
8,Paroxetine,False,False
9,Zuranolone,True,False
10,Paroxetine,True,False
11,Aspirin,True,False
12,Escitalopram,False,False
13,Zuranolone,True,False
14,Fluoxetine,True,False
15,Paroxetine,True,False
16,Escitalopram,False,False
17,Aspirin,True,False
18,Venlafaxine,False,False
19,Sertraline,True,False
20,Escitalopram,False,False
21,Fluoxetine,False,False
22,Brexanolone,True,False
23,Aspirin,True,False
24,Paroxetine,False,False
25,Zuranolone,True,False
26,Brexanolone,True,False
27,Venlafaxine,False,False
28,Aspirin,True,False
29,Escitalopram,True,False
30,Venlafaxine,False,False
31,Aspirin,True,False
32,Escitalopram,True,False
33,Brexanolone,True,False
34,Lithium,True,False
35,Fluoxetine,False,False
36,Zuranolone,True,False
37,Brexanolone,True,False
38,Escitalopram,False,False
39,Fluoxetine,True,False
40,Lithium,True,False
41,Fluoxetine,True,False
42,Aspirin,True,False
43,Sertraline,True,False
44,Zuranolone,True,False
45,Fluoxetine,True,False
46,Lithium,True,False
47,Zuranolone,True,False
48,Venlafaxine,False,False
49,Sertraline,True,False
50,Fluoxetine,True,False
51,Brexanolone,True,False
52,Lithium,True,False
53,Sertraline,False,False
54,Lithium,True,False
55,Brexanolone,True,False
56,Lithium,True,False
57,Lithium,True,False
58,Sertraline,False,False
59,Sertraline,True,False
60,Brexanolone,True,False
61,Zuranolone,True,False
62,Fluoxetine,False,False
63,Venlafaxine,False,False
64,Paroxetine,False,False
65,Escitalopram,True,False
66,Lithium,True,False
67,Fluoxetine,True,False
68,Zuranolone,True,False
69,Lithium,True,False
70,Sertraline,False,False
71,Brexanolone,True,False
72,Brexanolone,True,False
73,Paroxetine,False,False
74,Escitalopram,False,False
75,Escitalopram,True,False
76,Escitalopram,False,False
77,Aspirin,True,False
78,Aspirin,True,False
79,Brexanolone,True,False
80,Paroxetine,True,False
81,Fluoxetine,False,False
82,Venlafaxine,True,False
83,Brexanolone,True,False
84,Venlafaxine,False,False
85,Zuranolone,True,False
86,Fluoxetine,False,False
87,Fluoxetine,False,False
88,Venlafaxine,False,False
89,Paroxetine,True,False
90,Paroxetine,True,False
91,Escitalopram,False,False
92,Paroxetine,False,False
93,Aspirin,True,False
94,Escitalopram,True,False
95,Aspirin,True,False
96,Zuranolone,False,False
97,Zuranolone,True,False
98,Venlafaxine,False,False
99,Aspirin,True,False
100,Brexanolone,True,False
101,Sertraline,True,False
102,Paroxetine,False,False
103,Aspirin,True,False
104,Escitalopram,False,False
105,Escitalopram,False,False
106,Sertraline,True,False
107,Lithium,True,False
108,Lithium,True,False
109,Zuranolone,True,False
110,Aspirin,True,False
111,Zuranolone,True,False
112,Aspirin,True,False
113,Aspirin,True,False
114,Lithium,True,False
115,Aspirin,True,False
116,Zuranolone,True,False
117,Paroxetine,True,False
118,Fluoxetine,False,False
119,Zuranolone,True,False
120,Lithium,True,False
121,Venlafaxine,False,False
122,Lithium,True,False
123,Venlafaxine,False,False
124,Escitalopram,True,False
125,Paroxetine,False,False
126,Lithium,True,False
127,Sertraline,False,False
128,Brexanolone,True,False
129,Fluoxetine,True,False
130,Escitalopram,True,False
131,Lithium,True,False
132,Zuranolone,True,False
133,Fluoxetine,False,False
134,Fluoxetine,True,False
135,Fluoxetine,True,False
136,Zuranolone,True,False
137,Sertraline,False,False
138,Zuranolone,True,False
139,Zuranolone,False,False
140,Venlafaxine,False,False
141,Paroxetine,True,False
142,Venlafaxine,False,False
143,Venlafaxine,False,False
144,Lithium,True,False
145,Escitalopram,True,False
146,Lithium,True,False
147,Venlafaxine,False,False
148,Brexanolone,True,False
149,Paroxetine,False,False
150,Aspirin,True,False
